N_img,x_wp,y_wp,class
img1,439,54,0
img1,57,318,1
img1,467,50,0
img1,57,333,1
img1,481,55,0
img1,61,345,1
img1,506,53,0
img1,68,356,1
img1,535,49,0
img1,60,378,1
img1,552,55,0
img1,56,396,1
img1,578,52,0
img1,53,413,1
img1,599,54,0
img1,58,424,1
img1,619,56,0
img1,62,439,1
img1,643,55,0
img1,60,456,1
img1,665,54,0
img1,59,473,1
img1,685,55,0
img1,54,491,1
img1,707,57,0
img1,55,505,1
img1,735,53,0
img1,61,518,1
img1,747,60,0
img1,54,539,1
img1,750,74,0
img1,52,555,1
img1,749,90,0
img1,53,569,1
img1,746,108,0
img1,58,582,1
img1,743,124,0
img1,49,604,1
img1,747,139,0
img1,52,619,1
img1,750,153,0
img1,58,629,1
img1,746,170,0
img1,61,643,1
img1,744,187,0
img1,59,661,1
img1,742,204,0
img1,57,679,1
img1,745,219,0
img1,53,697,1
img1,744,235,0
img1,57,708,1
img1,744,252,0
img1,53,726,1
img1,743,268,0
img1,53,742,1
img1,742,283,0
img1,68,747,1
img1,744,296,0
img1,93,745,1
img1,742,313,0
img1,115,746,1
img1,741,330,0
img1,132,749,1
img1,747,342,0
img1,157,748,1
img1,751,354,0
img1,185,745,1
img1,749,371,0
img1,200,749,1
img1,720,407,0
img1,229,744,1
img1,725,419,0
img1,249,747,1
img1,744,421,0
img1,275,744,1
img1,739,439,0
img1,292,748,1
img1,739,456,0
img1,313,750,1
img1,746,469,0
img1,337,751,1
img1,748,483,0
img1,365,747,1
img2,181,77,0
img2,82,294,1
img2,199,72,0
img2,80,333,1
img2,213,78,0
img2,82,366,1
img2,231,77,0
img2,76,414,1
img2,248,75,0
img2,77,448,1
img2,262,78,0
img2,75,488,1
img2,271,89,0
img2,74,521,1
img2,287,94,0
img2,68,571,1
img2,310,80,0
img2,68,606,1
img2,326,80,0
img2,66,647,1
img2,340,83,0
img2,69,674,1
img2,354,87,0
img2,84,678,1
img2,371,85,0
img2,98,680,1
img2,386,88,0
img2,115,684,1
img2,405,88,0
img2,132,685,1
img2,419,94,0
img2,149,682,1
img2,433,99,0
img2,164,686,1
img2,450,95,0
img2,178,689,1
img2,468,94,0
img2,197,687,1
img2,482,100,0
img2,215,685,1
img2,499,100,0
img2,228,691,1
img2,514,103,0
img2,244,692,1
img2,529,106,0
img2,260,690,1
img2,544,107,0
img2,276,690,1
img2,560,108,0
img2,290,699,1
img2,579,105,0
img2,307,698,1
img2,594,107,0
img2,322,703,1
img2,607,111,0
img2,336,703,1
img2,627,106,0
img2,355,700,1
img2,643,109,0
img2,370,704,1
img2,655,115,0
img2,384,706,1
img2,671,115,0
img2,399,708,1
img2,686,117,0
img2,417,705,1
img2,703,120,0
img2,432,711,1
img2,723,115,0
img2,449,710,1
img2,733,128,0
img2,464,712,1
